ID,DataYear,ReportingStatus,GrossFloorArea,TotalGHGEmissions,GHGIntensity,NumberOfBuildings,ChicagoEnergyRating,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI
254989,2020,Submitted Data,242343.0,1570.7,8.5,1,2.0,,5284864.0,14042348.6,,,,104.5,159.7,107.0,162.4
160347,2020,Submitted Data,205348.0,1656.2,8.4,1,4.0,79,7500367.8,9142095.7,,,,84.6,155.5,87.8,158.9
251600,2020,Submitted Data,92365.0,529.2,5.7,1,3.5,57,1874065.3,4455830.1,,,,68.5,107.5,72.5,111.6
251325,2020,Submitted Data,68245.0,552.8,8.1,1,3.0,,2117149.9,4186854.8,,,,92.4,151.3,96.6,155.8
251277,2020,Exempt,121666.0,,,,,,,,,,,,,,
251401,2020,Submitted Data,71870.0,347.6,4.8,1,4.0,68,333471.8,5564070.3,,,,82.1,94.3,87.5,100.3
251280,2020,Not Submitted,120687.0,,,,0.0,,,,,,,,,,
156373,2020,Submitted Data,60892.0,290.9,4.8,1,3.5,79,1293163.6,1677071.8,,,,48.8,88.4,50.9,90.6
252123,2020,Submitted Data,115500.0,630.0,7.9,1,2.0,,3514945.8,1532663.1,,,,63.1,143.1,64.7,144.8
165819,2020,Submitted Data,97465.0,356.6,3.7,1,4.0,96,1487504.1,2343124.9,,,,39.3,68.0,39.3,68.0
101713,2020,Submitted Data,3457865.0,20741.2,6.5,1,4.0,81,88649320.1,74788659.9,,55385315.7,,68.6,118.1,70.0,119.7
101799,2020,Submitted Data,865070.0,6837.5,8.1,1,3.0,66,43810653.1,,,,,52.0,145.5,53.6,150.1
111837,2020,Submitted Data,196000.0,917.3,4.7,1,4.0,83,2107442.3,11078440.1,,,,67.3,89.5,71.1,92.9
252031,2020,Submitted Data,177137.0,1528.3,8.6,1,4.0,71,5515610.6,12566948.8,,,,102.1,161.7,105.7,164.7
244318,2020,Submitted Data,353135.0,2392.4,10.1,1,1.0,14,8998699.6,18600712.2,,,,116.0,188.1,119.2,190.8
251530,2020,Submitted Data,98900.0,458.8,4.6,1,4.0,78,1704448.1,3629759.9,,,,53.9,86.8,59.2,93.1
252030,2020,Not Submitted,95526.0,,,,0.0,,,,,,,,,,
175751,2020,Submitted Data,74458.0,678.9,9.1,1,4.0,61,4350201.1,,,,,58.4,163.6,63.1,176.7
255003,2020,Not Submitted,119727.0,,,,0.0,,,,,,,,,,
251692,2020,Submitted Data,140838.0,1111.1,7.9,1,2.0,26,4481327.7,7751970.2,,,,86.9,146.9,90.5,151.0
148480,2020,Submitted Data,80457.0,464.1,5.8,1,3.0,62,1860328.2,3271503.8,,,,63.8,107.4,64.8,108.1
101756,2020,Submitted Data,638592.0,6532.1,10.2,1,3.5,53,31463456.1,30530798.1,,,,97.1,188.2,101.5,192.8
112801,2020,Submitted Data,104500.0,614.2,7.0,1,3.0,43,1708541.9,6542596.4,,,,93.8,132.4,102.9,141.5
160284,2020,Submitted Data,642408.0,,,,0.0,,,,,,,,,,
252127,2020,Submitted Data,204813.0,1160.9,7.4,1,3.0,48,4917504.0,7406928.1,,,,78.4,137.0,80.7,139.0
188280,2020,Submitted Data,148157.0,1145.5,7.7,1,1.5,37,5502344.4,5397899.8,,,,73.6,142.2,77.3,150.4
130758,2020,Submitted Data,99552.0,554.4,5.6,1,3.5,73,3552011.1,,,,,35.7,99.9,37.7,105.6
159892,2020,Submitted Data,180351.0,1231.3,6.8,1,3.5,53,3265741.3,13586599.8,,,,93.4,129.8,98.8,135.2
116552,2020,Not Submitted,61610.0,,,,0.0,,,,,,,,,,
260149,2020,Submitted Data,74495.0,481.4,6.5,1,4.0,100,2501105.3,1713599.9,,,,56.6,118.2,,
251260,2020,Submitted Data,475020.0,2235.5,4.7,1,3.5,78,7579433.3,19817492.8,,,,57.7,88.5,59.5,90.4
104226,2020,Submitted Data,81300.0,375.1,5.2,1,4.0,94,997624.4,4131599.4,,,,70.6,98.1,74.2,101.7
118695,2020,Submitted Data,69455.0,508.9,7.3,1,3.0,65,1878200.2,4062399.6,,,,85.5,137.1,88.8,140.3
255017,2020,Submitted Data,88080.0,417.6,4.7,1,4.0,92,2168049.7,1491337.5,,,,41.5,86.7,43.0,89.2
256680,2020,Submitted Data,127872.0,243.8,3.8,6,4.0,98,904118.5,1933907.4,,,,44.0,70.8,45.8,72.5
252216,2020,Submitted Data,160000.0,1131.1,7.1,1,1.0,17,2879608.5,12834131.1,,,,98.2,134.6,107.5,142.7
