id,name,address,type
103962,Fountainbleau CAMBRIDGE Property,2828 N. Cambridge,Multifamily Housing
103965,447-457 W. Wellington Ave.,455 W. Wellington Ave.,Multifamily Housing
103970,424 West Oakdale Avenue,424 W. Oakdale Ave.,Multifamily Housing
104095,4600-4650 W. Diversey,4600 4650 W Diversey Ave,Strip Mall
104100,711 W Gordon Terrace,711 W Gordon Terrace,Multifamily Housing
104105,Sheridan Shores,640 W. Sheridan Road,Multifamily Housing
104206,Malden Property LLC,4501-4519 N Malden St,Multifamily Housing
104208,4401-09 N. Malden St.,4401-09 N. Malden St.,Multifamily Housing
104226,606 West Cornelia LLC,606-620 W. Cornelia Ave.,Multifamily Housing
104237,536-552 W. Addison St.,536 W. Addison St.,Multifamily Housing
104238,3510 N. Pine Grove Ave.,3510 N. Pine Grove Ave.,Multifamily Housing
104239,517-25 W. Brompton Ave.,517-25 W. Brompton Ave.,Multifamily Housing
104250,544 W. Melrose St.,544 W. Melrose St.,Multifamily Housing
104261,500 W. Belmont Apartments,500 W. Belmont Ave.,Multifamily Housing
104263,444-454 W. Melrose St.,450 W. Melrose St.,Multifamily Housing
104278,431 Roscoe,429-31 W. Roscoe,Multifamily Housing
104285,Aldine Building II LLC,528-34 West Aldine,Multifamily Housing
104288,EFA LLC,452 Aldine Ave,Multifamily Housing
104300,434 W Roscoe,434 W Roscoe St,Multifamily Housing
104340,,4701 4705 N BEACON ST,Multifamily Housing
104430,Edgewater Flats Condominium,1215-25 W Granville,Multifamily Housing
104431,,5948 5958 N BROADWAY,Office
104511,Hollywood Property,1040 W Hollywood,Multifamily Housing
104549,Heiwa Terrace,920 W Lawrence Ave # 1,Multifamily Housing
104635,,1900 1912 W PRATT BLVD,Multifamily Housing
104710,Belmont Place,4645 West Belmont Avenue,Multifamily Housing
104735,,2516 2526 N KEDZIE BLVD,Multifamily Housing
104789,Commonwealth,2322 N. Commonwealth,Multifamily Housing
104834,515-523 W. Barry Ave.,515 W. Barry Ave.,Multifamily Housing
104836,Barry Building IV,445 West Barry Avenue,Multifamily Housing
104838,421-31 Barry,421-31 W Barry Ave.,Multifamily Housing
104849,,660  W WRIGHTWOOD AVE,Multifamily Housing
104879,2600 N Hampden,2600 N Hampden Court,Multifamily Housing
104931,4600 N. Winchester,4600 N. Winchester Ave.,Multifamily Housing
105006,"5527-5541 N. Kenmore, LLC",5527 5539 N. Kenmore Ave.,Multifamily Housing
105011,Kenwin Venture LLLP,5439-5443 N Kenmore,Multifamily Housing
105012,fmc management,1016 w balmoral,Multifamily Housing
105034,Carmen Marine Cooperative,5030 N Marine Dr,Multifamily Housing
105044,,2018 2040 W FARWELL AVE,Multifamily Housing
105061,Northgate Landing,7625-39 North East Lake Terrace,Multifamily Housing
105067,1033 W Loyola (wy73),1033 W Loyola Ave,Multifamily Housing
105070,,1548 1558 W JUNEWAY TER,Multifamily Housing
105078,6825 Sheridan Rd Building Partnership,6825 N Sheridan Rd,Multifamily Housing
105150,Baric Properties,1533 W Jarvis Ave,Multifamily Housing
105244,,1329 1341 W ESTES AVE,Multifamily Housing
105252,Lake Grove Village Apartments,3500-3544 South Lake Park Avenue & 3515-3555 South Cottage Grove Avenue,Multifamily Housing
105288,"Mireles Academy, Arnold -CPS",9000 S Exchange Ave,K-12 School
105315,468 West Melrose Street,468 W Melrose St,Multifamily Housing
105339,Catherine Courts Condominium Association of Chicago (5306 N Cumberland Ave),5306 N. Cumberland Ave.,Multifamily Housing
105340,531 W. Deming,531 W. Deming Pl.,Multifamily Housing
105360,200 N Central,200 N Central Ave,Multifamily Housing
105391,Southland Preservation,6253  S MICHIGAN AVE,Multifamily Housing
