Address,Coordinates
645 N Kingsbury St,"{'latitude': 41.8933753, 'longitude': -87.6410329}"
331 W Surf St,"{'latitude': 41.9340195, 'longitude': -87.6386393}"
700 N Michigan Ave,"{'latitude': 41.895371, 'longitude': -87.6247018}"
1418  N LAKE SHORE DR,"{'latitude': 41.9083597, 'longitude': -87.6264343}"
829 S WABASH AVE,"{'latitude': 41.8711693, 'longitude': -87.62569649999999}"
5430 N. Sheridan Rd.,"{'latitude': 41.9809442, 'longitude': -87.6557052}"
811 W Agatite Ave,"{'latitude': 41.9625421, 'longitude': -87.6503116}"
101 113 W DIVISION ST,"{'latitude': 41.9037132, 'longitude': -87.6320743}"
1030 1032 N DEARBORN ST,"{'latitude': 41.901546, 'longitude': -87.6301009}"
1503 1509 S STATE ST,"{'latitude': 41.8616632, 'longitude': -87.6270033}"
2121 N Keeler Ave,"{'latitude': 41.9195512, 'longitude': -87.7310365}"
7100 S Cicero Ave,"{'latitude': 41.7632274, 'longitude': -87.7430682}"
620 N Sawyer Ave,"{'latitude': 41.8923065, 'longitude': -87.7081379}"
161 N Clark,"{'latitude': 41.8848742, 'longitude': -87.63069039999999}"
155 N Wacker Dr,"{'latitude': 41.8847069, 'longitude': -87.6360432}"
4840 N Marine Dr,"{'latitude': 41.9702524, 'longitude': -87.650596}"
9 W Walton St,"{'latitude': 41.8998155, 'longitude': -87.62876759999999}"
707 W Sheridan Rd,"{'latitude': 41.9526183, 'longitude': -87.6483575}"
200 210 S HALSTED ST,"{'latitude': 41.8788039, 'longitude': -87.6475643}"
427 S LaSalle St,"{'latitude': 41.8761247, 'longitude': -87.6316307}"
1 E Delaware Pl,"{'latitude': 41.899007, 'longitude': -87.628084}"
7000 7008 S SOUTH SHORE DR,"{'latitude': 41.7677657, 'longitude': -87.5670026}"
650 W Scott,"{'latitude': 41.9053759, 'longitude': -87.64642309999999}"
1222 W 79th St,"{'latitude': 41.7507533, 'longitude': -87.65469159999999}"
4821 - 4951 W North Ave,"{'latitude': 41.9084352, 'longitude': -87.7505932}"
212 E Cullerton St,"{'latitude': 41.8557482, 'longitude': -87.6217636}"
